X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.150715443684106,43.049674908045098,7572,285,SNOW&ICE,2018-01-0302:34:49.000,W,200GENESEESTE&WARRENST,,-76.1507154436841,43.0496749080451,14176
-76.150766943701598,43.049686108045201,7575,285,SNOW&ICE,2018-01-0302:34:51.000,NW,140GENESEESTE&WARRENST,StopMoving,-76.1507669437016,43.0496861080452,14177
-76.150835943767206,43.050286208152698,7584,285,SNOW&ICE,2018-01-0302:35:03.000,N,100WATERSTE&WARRENSTS,StartMoving,-76.1508359437672,43.0502862081527,14178
-76.150628143716602,43.050519408203698,7593,285,SNOW&ICE,2018-01-0302:35:09.000,E,203WATERSTE&WARRENSTS,,-76.1506281437166,43.0505194082037,14179
-76.149363743300995,43.050445108238897,7602,285,SNOW&ICE,2018-01-0302:35:25.000,SE,257WATERSTE&MONTGOMERYS,,-76.149363743301,43.0504451082389,14180
-76.149422243197193,43.048739607923302,7625,285,SNOW&ICE,2018-01-0302:35:53.000,SW,217MONTGOMERYST&FAYETTES,,-76.1494222431972,43.0487396079233,14181
-76.150763243632099,43.048736907870897,7637,285,SNOW&ICE,2018-01-0302:36:10.000,NW,214-18WARRENSTS&FAYETTEST,,-76.1507632436321,43.0487369078709,14182
-76.150779643639098,43.0487607078746,7638,285,SNOW&ICE,2018-01-0302:36:11.000,N,214-18WARRENSTS&FAYETTEST,StopMoving,-76.1507796436391,43.0487607078746,14183
-76.150892443710305,43.049240707958397,7646,285,SNOW&ICE,2018-01-0302:36:26.000,N,208WARRENSTS&WASHINGTON,StartMoving,-76.1508924437103,43.0492407079584,14184
-76.150807643687699,43.049309407974299,7647,285,SNOW&ICE,2018-01-0302:36:28.000,NE,208WARRENSTS&WASHINGTON,,-76.1508076436877,43.0493094079743,14185
-76.149328643214901,43.049407208049601,7662,285,SNOW&ICE,2018-01-0302:36:48.000,SE,237-43GENESEESTE&MONTGOMERY,,-76.1493286432149,43.0494072080496,14186
-76.149461243095303,43.047148107629297,7692,285,SNOW&ICE,2018-01-0302:37:30.000,SW,350MONTGOMERYST&JEFFERSON,,-76.1494612430953,43.0471481076293,14187
-76.150724643503906,43.047130707577203,7702,285,SNOW&ICE,2018-01-0302:37:51.000,NW,357-59WARRENSTS&JEFFERSONS,,-76.1507246435039,43.0471307075772,14188
-76.150733443507704,43.047142607579097,7703,285,SNOW&ICE,2018-01-0302:37:52.000,NW,357-59WARRENSTS&JEFFERSONS,StopMoving,-76.1507334435077,43.0471426075791,14189
-76.150762243560607,43.047748907689403,7712,285,SNOW&ICE,2018-01-0302:38:03.000,N,325-45WARRENSTS,StartMoving,-76.1507622435606,43.0477489076894,14190
-76.150678243584593,43.048459607823197,7721,285,SNOW&ICE,2018-01-0302:38:14.000,E,305WARRENSTS&FAYETTEST,,-76.1506782435846,43.0484596078232,14191
-76.147521642559198,43.0484427079423,7745,285,SNOW&ICE,2018-01-0302:38:42.000,S,300STATESTS&FAYETTESTE,,-76.1475216425592,43.0484427079423,14192
-76.148765642864902,43.047082107644101,7763,285,SNOW&ICE,2018-01-0302:39:11.000,SW,335MONTGOMERYST&JEFFERSON,,-76.1487656428649,43.0470821076441,14193
-76.149277743033906,43.047122107631701,7769,285,SNOW&ICE,2018-01-0302:39:18.000,NW,335MONTGOMERYST&JEFFERSON,,-76.1492777430339,43.0471221076317,14194
-76.149322143112599,43.048015207794101,7785,285,SNOW&ICE,2018-01-0302:39:41.000,N,319MONTGOMERYST,StopMoving,-76.1493221431126,43.0480152077941,14195
-76.149129643076094,43.048375407867702,7788,285,SNOW&ICE,2018-01-0302:39:52.000,NE,305MONTGOMERYST,,-76.1491296430761,43.0483754078677,14196
-76.149036443047095,43.048392707874498,7789,285,SNOW&ICE,2018-01-0302:39:53.000,E,305MONTGOMERYST,StartMoving,-76.1490364430471,43.0483927078745,14197
-76.147502142546202,43.048350707926197,7804,285,SNOW&ICE,2018-01-0302:40:09.000,S,300STATESTS&FAYETTESTE,,-76.1475021425462,43.0483507079262,14198
-76.147611242487201,43.047039607681,7817,285,SNOW&ICE,2018-01-0302:40:27.000,SW,338ONONDAGASTE&STATEST,,-76.1476112424872,43.047039607681,14199
-76.1508316434401,43.045760907321402,7848,285,SNOW&ICE,2018-01-0302:41:14.000,NW,499WARRENSTSTOONONDAGAS,,-76.1508316434401,43.0457609073214,14200
-76.150844643457901,43.045950207355602,7855,285,SNOW&ICE,2018-01-0302:41:21.000,N,451WARRENSTS,StopMoving,-76.1508446434579,43.0459502073556,14201
-76.150830643494103,43.046516107460199,7867,285,SNOW&ICE,2018-01-0302:41:34.000,N,421-25WARRENSTS,StartMoving,-76.1508306434941,43.0465161074602,14202
-76.150639443448796,43.046748207510198,7873,285,SNOW&ICE,2018-01-0302:41:43.000,E,409WARRENSTS,,-76.1506394434488,43.0467482075102,14203
-76.1488491428766,43.0468691076018,7893,285,SNOW&ICE,2018-01-0302:42:10.000,S,360MONTGOMERYST&JEFFERSON,,-76.1488491428766,43.0468691076018,14204
-76.148856442786496,43.045584907365502,7902,285,SNOW&ICE,2018-01-0302:42:29.000,SW,424-26MONTGOMERYST&MADISONS,StopMoving,-76.1488564427865,43.0455849073655,14205
-76.148922242809604,43.0456094073675,7904,285,SNOW&ICE,2018-01-0302:42:32.000,W,424-26MONTGOMERYST&MADISONS,,-76.1489222428096,43.0456094073675,14206
-76.149661643048503,43.045594107336001,7909,285,SNOW&ICE,2018-01-0302:42:41.000,W,214-232ONONDAGASTE&MADISONS,StartMoving,-76.1496616430485,43.045594107336,14207
-76.150695143393506,43.045729707320902,7920,285,SNOW&ICE,2018-01-0302:42:59.000,N,499WARRENSTSTOONONDAGAS,,-76.1506951433935,43.0457297073209,14208
-76.150796243505894,43.046835407520199,7938,285,SNOW&ICE,2018-01-0302:43:21.000,N,409WARRENSTS,StopMoving,-76.1507962435059,43.0468354075202,14209
-76.150558243433295,43.046899107541101,7943,285,SNOW&ICE,2018-01-0302:43:26.000,E,401-07WARRENSTS&JEFFERSONS,,-76.1505582434333,43.0468991075411,14210
-76.150031443264893,43.046933607567802,7947,285,SNOW&ICE,2018-01-0302:43:32.000,E,205-09JEFFERSONSTE,StartMoving,-76.1500314432649,43.0469336075678,14211
-76.149317143045394,43.047104207626901,7952,285,SNOW&ICE,2018-01-0302:43:41.000,N,335MONTGOMERYST&JEFFERSON,,-76.1493171430454,43.0471042076269,14212
-76.1488472430635,43.049473408080402,7969,285,SNOW&ICE,2018-01-0302:44:12.000,E,233WASHINGTONSTE&MONTGOM,,-76.1488472430635,43.0494734080804,14213
-76.147515942625105,43.049384108115603,7977,285,SNOW&ICE,2018-01-0302:44:25.000,S,415WASHINGTONSTE,,-76.1475159426251,43.0493841081156,14214
-76.147658942624503,43.048731107990001,7989,285,SNOW&ICE,2018-01-0302:44:38.000,W,300WASHINGTONSTE&STATES,,-76.1476589426245,43.04873110799,14215
-76.149161743113197,43.048746707934697,8000,285,SNOW&ICE,2018-01-0302:44:54.000,NW,217MONTGOMERYST&FAYETTES,,-76.1491617431132,43.0487467079347,14216
-76.1491887431756,43.049491708070498,8010,285,SNOW&ICE,2018-01-0302:45:08.000,NE,237-43GENESEESTE&MONTGOMERY,,-76.1491887431756,43.0494917080705,14217
-76.147523942634294,43.049476608132203,8025,285,SNOW&ICE,2018-01-0302:45:28.000,SE,415WASHINGTONSTE,,-76.1475239426343,43.0494766081322,14218
-76.147531942607003,43.049061108055596,8033,285,SNOW&ICE,2018-01-0302:45:39.000,S,300WASHINGTONSTE&STATES,StopMoving,-76.147531942607,43.0490611080556,14219
-76.147553642597202,43.0488264080116,8040,285,SNOW&ICE,2018-01-0302:45:56.000,S,300WASHINGTONSTE&STATES,StartMoving,-76.1475536425972,43.0488264080116,14220
