X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,OBJECTID
-76.110545631084619,43.055727410711782,286,SNOW & ICE,2017-03-13 00:03:54.000,2017-03-13 00:03:55.000,1824 EB I 690 SYRACUSE 13210                      ,,-76.1105456310846,43.0557274107118,77
-76.110794731159856,43.055649610687851,210,SNOW & ICE,2017-03-13 00:03:56.000,2017-03-13 00:03:57.000,1822 EB I 690 SYRACUSE 13210                      ,,-76.1107947311599,43.0556496106879,78
-76.14905064498214,43.075187112795888,216,SNOW & ICE,2017-03-13 00:03:58.000,2017-03-13 00:03:58.000,117 MICHAELS AVE & KIRKPATRIC                     ,    Spreader Off,-76.1490506449821,43.0751871127959,79
-76.111347132264342,43.068510913029485,285,SNOW & ICE,2017-03-13 00:04:00.000,2017-03-13 00:04:01.000,2500 JAMES ST & FOREST HILL DR                    ,,-76.1113471322643,43.0685109130295,80
-76.175056750369421,43.032851704010369,283,SNOW & ICE,2017-03-13 00:04:00.000,2017-03-13 00:04:00.000,1152-54 BELLEVUE AVE                              ,,-76.1750567503694,43.0328517040104,81
-76.175101150384435,43.032860404010229,283,SNOW & ICE,2017-03-13 00:04:01.000,2017-03-13 00:04:01.000,1152-54 BELLEVUE AVE                              ,    Spreader Off,-76.1751011503844,43.0328604040102,82
-76.175175450417441,43.032984204030114,283,SNOW & ICE,2017-03-13 00:04:04.000,2017-03-13 00:04:04.000,1428 GEDDES ST S                                  ,,-76.1751754504174,43.0329842040301,83
-76.111405632292318,43.06863561305012,285,SNOW & ICE,2017-03-13 00:04:05.000,2017-03-13 00:04:05.000,2501-13 JAMES ST & MARLBOROUGH RD                 ,,-76.1114056322923,43.0686356130501,84
-76.149495645082581,43.074577712666745,216,SNOW & ICE,2017-03-13 00:04:10.000,2017-03-13 00:04:10.000,120 MICHAELS AVE & KIRKPATRIC                     ,    Spreader On,-76.1494956450826,43.0745777126667,85
-76.112096432493331,43.068313212964163,208,SNOW & ICE,2017-03-13 00:04:19.000,2017-03-13 00:04:19.000,2400-10 JAMES ST & STAFFORD AVE                   ,,-76.1120964324933,43.0683132129642,86
-76.149810945152623,43.074129112572173,216,SNOW & ICE,2017-03-13 00:04:19.000,2017-03-13 00:04:19.000,2421-23 GRANT BLVD & KIRKPATRICK                  ,    Spreader Off,-76.1498109451526,43.0741291125722,87
-76.151683143499469,43.042748206734721,267,SNOW & ICE,2017-03-13 00:04:21.000,2017-03-13 00:04:21.000,580-84 SALINA ST S & ADAMS ST W                   ,,-76.1516831434995,43.0427482067347,88
-76.163238445396729,43.017015401556471,263,SNOW & ICE,2017-03-13 00:04:23.000,2017-03-13 00:04:23.000,106 FAIRFIELD AVE                                 ,,-76.1632384453967,43.0170154015565,89
-76.162736945236446,43.017048901582065,263,SNOW & ICE,2017-03-13 00:04:32.000,2017-03-13 00:04:32.000,2056 SOUTH AVE & FAIRFIELD AVE                    ,    Stop Moving,-76.1627369452364,43.0170489015821,90
-76.174150950239579,43.035128904464031,283,SNOW & ICE,2017-03-13 00:04:32.000,2017-03-13 00:04:32.000,1215 GEDDES ST S & ELLIOTT ST                     ,,-76.1741509502396,43.035128904464,91
-76.162652245200235,43.016927401562995,263,SNOW & ICE,2017-03-13 00:04:42.000,2017-03-13 00:04:42.000,2056 SOUTH AVE & FAIRFIELD AVE                    ,,-76.1626522452002,43.016927401563,92
-76.14226974079962,43.047671608003974,265,SNOW & ICE,2017-03-13 00:04:43.000,2017-03-13 00:04:44.000,701-05 GENESEE ST E & ALMOND ST                   ,    Stop Moving,-76.1422697407996,43.047671608004,93
-76.172891749815506,43.034911904472949,283,SNOW & ICE,2017-03-13 00:04:46.000,2017-03-13 00:04:46.000,306 ELLIOTT ST                                    ,    Spreader On,-76.1728917498155,43.0349119044729,94
-76.11134513132356,43.055441910628367,179,SNOW & ICE,2017-03-13 00:04:48.000,2017-03-13 00:04:49.000,1820 EB I 690 SYRACUSE 13210                      ,,-76.1113451313236,43.0554419106284,95
